Frecuencia (Hz)	Nivel (dB)
43,066406	-43,183735
86,132812	-42,153896
129,199219	-40,518425
172,265625	-37,722733
215,332031	-35,555683
258,398438	-31,703032
301,464844	-20,501865
344,531250	-24,519405
387,597656	-32,992382
430,664062	-36,726501
473,730469	-38,938637
516,796875	-40,718853
559,863281	-41,625179
602,929688	-42,358372
645,996094	-42,250561
689,062500	-42,666962
732,128906	-41,400814
775,195312	-41,630764
818,261719	-42,635685
861,328125	-42,141968
904,394531	-43,794209
947,460938	-41,466213
990,527344	-45,005699
1033,593750	-44,256794
1076,660156	-44,794144
1119,726562	-45,742615
1162,792969	-45,523201
1205,859375	-44,255192
1248,925781	-43,543541
1291,992188	-44,258221
1335,058594	-41,478672
1378,125000	-40,189091
1421,191406	-39,112213
1464,257812	-40,318356
1507,324219	-40,903358
1550,390625	-40,340942
1593,457031	-41,463123
1636,523438	-42,664684
1679,589844	-42,105366
1722,656250	-41,363277
1765,722656	-40,452766
1808,789062	-39,082508
1851,855469	-37,111103
1894,921875	-34,079945
1937,988281	-29,038807
1981,054688	-11,151885
2024,121094	-22,218494
2067,187500	-31,026455
2110,253906	-35,097923
2153,320312	-37,805759
2196,386719	-39,762604
2239,453125	-40,652435
2282,519531	-41,293125
2325,585938	-40,908871
2368,652344	-40,622021
2411,718750	-44,447235
2454,785156	-44,187920
2497,851562	-44,863106
2540,917969	-44,561134
2583,984375	-45,745575
2627,050781	-46,845455
2670,117188	-48,121231
2713,183594	-47,290974
2756,250000	-47,643211
2799,316406	-48,870316
2842,382812	-49,494053
2885,449219	-48,702950
2928,515625	-48,103340
2971,582031	-46,799591
3014,648438	-43,631798
3057,714844	-45,097847
3100,781250	-43,914322
3143,847656	-45,540592
3186,914062	-45,537682
3229,980469	-45,090687
3273,046875	-42,832878
3316,113281	-42,812737
3359,179688	-46,621807
3402,246094	-46,195610
3445,312500	-46,419502
3488,378906	-46,640247
3531,445312	-47,762596
3574,511719	-47,398624
3617,578125	-47,265278
3660,644531	-44,790508
3703,710938	-36,414425
3746,777344	-38,594772
3789,843750	-41,495529
3832,910156	-39,643623
3875,976562	-38,548481
3919,042969	-37,257164
3962,109375	-39,031158
4005,175781	-39,373806
4048,242188	-39,990261
4091,308594	-40,165340
4134,375000	-42,473640
4177,441406	-43,056881
4220,507812	-44,487183
4263,574219	-45,124321
4306,640625	-46,439472
4349,707031	-47,857620
4392,773438	-48,331043
4435,839844	-49,800201
4478,906250	-50,279621
4521,972656	-49,867245
4565,039062	-50,622334
4608,105469	-50,466343
4651,171875	-49,615097
4694,238281	-49,250488
4737,304688	-48,647598
4780,371094	-48,005550
4823,437500	-46,275440
4866,503906	-47,136497
4909,570312	-46,561878
4952,636719	-47,654709
4995,703125	-47,743408
5038,769531	-49,310215
5081,835938	-51,120792
5124,902344	-49,960854
5167,968750	-50,893574
5211,035156	-51,361530
5254,101562	-53,579903
5297,167969	-52,163387
5340,234375	-55,408504
5383,300781	-53,393955
5426,367188	-50,297501
5469,433594	-35,971146
5512,500000	-41,686928
5555,566406	-51,447868
5598,632812	-52,463058
5641,699219	-47,818142
5684,765625	-43,824142
5727,832031	-42,226311
5770,898438	-32,232010
5813,964844	-45,409122
5857,031250	-51,981033
5900,097656	-54,384373
5943,164062	-55,118759
5986,230469	-55,477245
6029,296875	-52,714947
6072,363281	-55,686687
6115,429688	-54,735786
6158,496094	-54,830593
6201,562500	-52,383911
6244,628906	-52,469887
6287,695312	-52,817535
6330,761719	-52,315876
6373,828125	-53,505913
6416,894531	-50,234009
6459,960938	-52,118992
6503,027344	-49,466106
6546,093750	-51,859993
6589,160156	-53,441467
6632,226562	-55,578465
6675,292969	-53,672367
6718,359375	-54,149410
6761,425781	-51,755421
6804,492188	-51,780495
6847,558594	-51,747581
6890,625000	-49,028091
6933,691406	-49,400059
6976,757812	-45,210052
7019,824219	-43,436279
7062,890625	-34,418255
7105,957031	-20,733557
7149,023438	-34,358517
7192,089844	-44,364380
7235,156250	-44,768814
7278,222656	-51,478348
7321,289062	-48,134781
7364,355469	-54,681721
7407,421875	-50,888966
7450,488281	-53,713516
7493,554688	-52,202282
7536,621094	-55,072311
7579,687500	-54,144073
7622,753906	-55,975861
7665,820312	-55,374451
7708,886719	-54,219746
7751,953125	-56,293144
7795,019531	-56,525204
7838,085938	-56,910679
7881,152344	-57,632652
7924,218750	-56,971687
7967,285156	-56,195271
8010,351562	-56,221390
8053,417969	-56,915306
8096,484375	-57,719086
8139,550781	-59,964722
8182,617188	-57,421200
8225,683594	-58,700741
8268,750000	-58,987885
8311,816406	-59,499710
8354,882812	-59,707520
8397,949219	-59,080574
8441,015625	-52,378250
8484,082031	-55,603664
8527,148438	-54,375576
8570,214844	-54,539261
8613,281250	-55,376678
8656,347656	-56,882290
8699,414062	-56,374802
8742,480469	-56,103001
8785,546875	-57,263744
8828,613281	-57,009254
8871,679688	-56,568283
8914,746094	-57,111507
8957,812500	-58,173279
9000,878906	-58,731762
9043,945312	-59,288773
9087,011719	-55,190857
9130,078125	-52,245918
9173,144531	-48,749496
9216,210938	-59,640724
9259,277344	-58,777828
9302,343750	-58,903374
9345,410156	-57,792469
9388,476562	-55,399155
9431,542969	-54,352520
9474,609375	-54,420055
9517,675781	-54,517052
9560,742188	-53,561607
9603,808594	-55,305740
9646,875000	-54,081429
9689,941406	-54,044128
9733,007812	-53,386662
9776,074219	-55,888157
9819,140625	-56,234421
9862,207031	-57,889317
9905,273438	-59,297379
9948,339844	-57,504425
9991,406250	-58,323795
10034,472656	-54,746559
10077,539062	-56,445087
10120,605469	-53,522152
10163,671875	-54,015545
10206,738281	-51,652351
10249,804688	-55,182896
10292,871094	-51,921696
10335,937500	-51,484646
10379,003906	-48,797195
10422,070312	-45,790798
10465,136719	-39,189507
10508,203125	-23,721254
10551,269531	-36,092060
10594,335938	-45,389172
10637,402344	-47,268970
10680,468750	-51,422310
10723,535156	-52,370785
10766,601562	-55,197548
10809,667969	-52,461670
10852,734375	-53,545559
10895,800781	-56,680920
10938,867188	-56,350414
10981,933594	-57,546753
11025,000000	-56,651264
11068,066406	-53,927662
11111,132812	-55,694069
11154,199219	-56,024078
11197,265625	-55,370266
11240,332031	-54,360645
11283,398438	-53,282490
11326,464844	-48,431187
11369,531250	-44,859661
11412,597656	-53,116497
11455,664062	-55,648914
11498,730469	-54,557373
11541,796875	-57,473896
11584,863281	-55,670998
11627,929688	-57,698376
11670,996094	-58,277164
11714,062500	-60,422340
11757,128906	-61,536850
11800,195312	-55,498096
11843,261719	-47,375156
11886,328125	-56,766537
11929,394531	-56,011311
11972,460938	-55,618156
12015,527344	-58,875942
12058,593750	-61,588070
12101,660156	-59,818283
12144,726562	-61,004227
12187,792969	-58,888523
12230,859375	-58,706337
12273,925781	-60,751915
12316,992188	-61,320396
12360,058594	-61,224804
12403,125000	-60,110596
12446,191406	-59,518372
12489,257812	-56,360588
12532,324219	-59,476017
12575,390625	-59,595825
12618,457031	-59,174381
12661,523438	-60,738686
12704,589844	-62,964256
12747,656250	-61,006336
12790,722656	-58,841755
12833,789062	-55,443283
12876,855469	-55,749508
12919,921875	-55,317478
12962,988281	-57,676224
13006,054688	-57,257851
13049,121094	-57,566139
13092,187500	-57,286583
13135,253906	-59,232128
13178,320312	-56,233578
13221,386719	-58,004250
13264,453125	-57,309788
13307,519531	-57,132427
13350,585938	-54,535625
13393,652344	-56,144909
13436,718750	-54,610409
13479,785156	-58,165638
13522,851562	-57,865803
13565,917969	-58,822601
13608,984375	-58,600929
13652,050781	-56,646015
13695,117188	-58,168587
13738,183594	-56,773922
13781,250000	-58,105350
13824,316406	-58,367214
13867,382812	-58,889683
13910,449219	-45,409599
13953,515625	-48,236931
13996,582031	-56,431042
14039,648438	-60,242886
14082,714844	-62,956364
14125,781250	-59,131927
14168,847656	-54,714428
14211,914062	-53,429726
14254,980469	-54,739697
14298,046875	-61,164196
14341,113281	-63,254196
14384,179688	-62,194569
14427,246094	-61,096169
14470,312500	-62,140415
14513,378906	-55,891304
14556,445312	-59,180008
14599,511719	-59,912437
14642,578125	-59,595081
14685,644531	-61,774693
14728,710938	-61,460468
14771,777344	-58,486362
14814,843750	-57,019966
14857,910156	-57,312901
14900,976562	-58,645622
14944,042969	-58,692577
14987,109375	-59,344837
15030,175781	-58,862247
15073,242188	-53,501179
15116,308594	-52,674568
15159,375000	-54,282009
15202,441406	-55,708294
15245,507812	-53,740650
15288,574219	-56,262783
15331,640625	-55,769459
15374,707031	-56,098309
15417,773438	-56,784405
15460,839844	-54,927601
15503,906250	-55,703506
15546,972656	-55,718788
15590,039062	-53,837612
15633,105469	-56,119858
15676,171875	-56,330997
15719,238281	-56,490417
15762,304688	-54,849091
15805,371094	-54,375484
15848,437500	-58,606133
15891,503906	-58,487236
15934,570312	-58,582809
15977,636719	-62,340675
16020,703125	-60,113892
16063,769531	-58,144199
16106,835938	-61,018772
16149,902344	-57,581318
16192,968750	-55,800583
16236,035156	-53,289688
16279,101562	-56,193672
16322,167969	-64,008842
16365,234375	-62,103615
16408,300781	-59,317211
16451,367188	-60,501423
16494,433594	-62,826675
16537,500000	-62,617645
16580,566406	-60,567406
16623,632812	-63,825111
16666,699219	-59,766201
16709,765625	-61,111790
16752,832031	-60,501709
16795,898438	-59,458084
16838,964844	-57,977180
16882,031250	-51,962200
16925,097656	-59,683655
16968,164062	-57,420368
17011,230469	-58,163864
17054,296875	-57,772781
17097,363281	-60,376808
17140,429688	-59,049114
17183,496094	-59,125015
17226,562500	-59,878658
17269,628906	-60,137386
17312,695312	-57,333038
17355,761719	-59,559933
17398,828125	-62,516506
17441,894531	-61,290768
17484,960938	-63,285618
17528,027344	-59,380554
17571,093750	-59,986664
17614,160156	-65,117203
17657,226562	-63,454487
17700,292969	-64,024399
17743,359375	-66,656830
17786,425781	-61,983273
17829,492188	-63,181820
17872,558594	-58,813129
17915,625000	-55,088406
17958,691406	-60,572559
18001,757812	-65,452370
18044,824219	-63,074322
18087,890625	-62,474308
18130,957031	-62,155579
18174,023438	-62,913296
18217,089844	-60,487003
18260,156250	-65,842476
18303,222656	-63,574764
18346,289062	-63,843056
18389,355469	-59,121738
18432,421875	-60,819275
18475,488281	-57,199390
18518,554688	-58,886894
18561,621094	-56,538376
18604,687500	-59,782009
18647,753906	-58,197155
18690,820312	-63,907188
18733,886719	-64,397972
18776,953125	-63,087425
18820,019531	-62,865894
18863,085938	-62,028931
18906,152344	-60,271671
18949,218750	-62,568882
18992,285156	-57,271103
19035,351562	-58,319469
19078,417969	-60,942814
19121,484375	-62,763542
19164,550781	-58,989407
19207,617188	-57,352726
19250,683594	-58,243938
19293,750000	-58,680351
19336,816406	-60,081432
19379,882812	-63,240219
19422,949219	-61,767513
19466,015625	-64,264854
19509,082031	-64,587227
19552,148438	-65,301132
19595,214844	-64,323715
19638,281250	-66,309639
19681,347656	-65,649345
19724,414062	-62,402191
19767,480469	-64,726776
19810,546875	-66,089714
19853,613281	-65,405357
19896,679688	-59,567104
19939,746094	-57,303131
19982,812500	-53,518337
20025,878906	-62,296059
20068,945312	-63,587116
20112,011719	-62,784969
20155,078125	-63,525280
20198,144531	-60,168621
20241,210938	-55,221146
20284,277344	-49,736988
20327,343750	-60,441422
20370,410156	-62,314392
20413,476562	-63,068031
20456,542969	-65,687836
20499,609375	-66,991631
20542,675781	-67,687088
20585,742188	-64,285164
20628,808594	-66,821480
20671,875000	-66,231102
20714,941406	-64,949196
20758,007812	-67,142334
20801,074219	-65,137039
20844,140625	-68,295227
20887,207031	-65,936600
20930,273438	-65,889420
20973,339844	-68,643784
21016,406250	-66,739319
21059,472656	-66,759216
21102,539062	-66,696083
21145,605469	-70,064262
21188,671875	-68,789963
21231,738281	-67,734352
21274,804688	-64,912216
21317,871094	-63,404774
21360,937500	-67,729683
21404,003906	-69,848442
21447,070312	-68,837349
21490,136719	-68,866959
21533,203125	-69,166679
21576,269531	-68,621735
21619,335938	-69,114212
21662,402344	-69,658234
21705,468750	-70,045891
21748,535156	-69,971268
21791,601562	-70,453568
21834,667969	-70,146736
21877,734375	-70,355003
21920,800781	-70,252151
21963,867188	-70,430618
22006,933594	-70,302620
